"Row","X","y","DFIT1"
"1","0.10000","-0.0716","-0.37897"
"2","0.45401","4.1673","-0.10501"
"3","1.09765","6.5703","-0.16248"
"4","1.27936","13.8150","0.36737"
"5","2.20611","11.4501","-0.17547"
"6","2.50064","12.9554","-0.16377"
"7","3.04030","20.1575","0.10670"
"8","3.23583","17.5633","-0.09265"
"9","4.45308","26.0317","0.03061"
"10","4.16990","22.7573","-0.05849"
"11","5.28474","26.3030","-0.16025"
"12","5.59238","30.6885","-0.02183"
"13","5.92091","33.9402","0.05988"
"14","6.66066","30.9228","-0.34035"
"15","6.79953","34.1100","-0.18834"
"16","7.97943","44.4536","0.10017"
"17","8.41536","46.5022","0.09771"
"18","8.71607","50.0568","0.29276"
"19","8.70156","46.5475","-0.02188"
"20","9.16463","45.7762","-0.33970"
"21","4.00000","40.0000","1.55050"
